input,result3,result2,result1
"[0, 0, 5, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 7, 0]","[1, 15, 18]","[1, 15, 18]"
"[5, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 15]","[17, 1, 15]","[17, 1, 15]"
"[0, 5, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 0, 18]","[15, 13, 0]","[15, 13, 0]"
"[0, 0, 0, 0, 5, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 7]","[1, 17, 15]","[1, 17, 15]"
"[0, 0, 5, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 5, 15]","[15, 1, 7]","[15, 1, 7]"
"[0, 0, 0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 7, 0]","[1, 15, 13]","[1, 15, 13]"
"[0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 15, 10]","[15, 0, 17]","[15, 0, 17]"
"[0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 5]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 18]","[1, 18, 15]","[1, 18, 15]"
"[0, 0, 5, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 1, 12]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 10]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 10]","[17, 7, 13]","[17, 7, 13]"
"[0, 0, 5, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 10, 12]","[17, 15, 7]","[17, 15, 7]"
"[0, 5, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 5]","[17, 13, 7]","[17, 13, 7]"
"[0, 5, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 7]","[17, 15, 13]","[17, 15, 13]"
"[5, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 1, 4]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 5, 15]","[15, 1, 13]","[15, 1, 13]"
"[0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[1, 15, 13]","[1, 15, 13]"
